employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,Finance Assistant ,"Kabul, Afghanistan",13. March 2023,03.03.2023,"Excellent attention to detail, strong organizational skills, strong communication and coordination skills, excellent interpersonal skills, culturally and socially sensitive, ability to work inclusively and collaboratively with a range of partners, ability to work and adapt professionally and effectively in a challenging environment, ability to work effectively in a multicultural team of international and national personnel, solid overall computer literacy, including proficiency in various MS Office applications (Excel, Word, etc.) and email/internet Fluency in English is required "
United Nations Development Programme,Communication Assistant ,"Cairo, Egypt",6. March 2023,03.03.2023,"Bachelor degree or equivalent in communication, business administration or a relevant field One year of experience in communications, managing social media, and experience in environment and climate change communications is an asset, in addition to, excellent oral and written skills; excellent drafting, formulation, reporting skills, accuracy and professionalism in document production and editing, excellent interpersonal skills, culturally and socially sensitive, ability to work inclusively and collaboratively with a range of partners, including grassroots community members, religious and youth organizations, and authorities at different levels, familiarity with tools and approaches of communications for development, ability to work and adapt professionally and effectively in a challenging environment Fluency in English is required "
United Nations Development Programme,Programme Associate (Finance/Accounting & Admin) ,"Hanoi, Viet Nam",15. March 2023,03.03.2023,"A minimum seven years (with secondary education), or four years (with Bachelors‘ degree) of progressively responsible finance and administrative or programme/project implementation support experience is required, experience in usage of Excel and accounting spreadsheets/ software/systems/handling of web-based management systems, experience in budget planning, financial management and reporting, and procurement, demonstrated working experience in organizing and successfully delivering high-level political events, knowledge of UNDP programme practices and experience working with UN administration is an asset, Basic understanding of climate change, disaster risk reduction and environment Full fluency in English and Vietnamese is required "
World Health Organization,Epidemiologist ,"Geneva, Switzerland",21. March 2023,03.03.2023,"At least seven years‘ experience with successful track record in epidemiology, surveillance and/or the control of acute public health events, in which at least four years have been related to public health intelligence activities at the national and/or international levels, demonstrated experience in the context of large epidemics or public health crises at the national and/or international levels Fluency in English is required "
World Health Organization,Cybersecurity Operations and Analytics Engineer ,"Budapest, Hungary",22. March 2023,03.03.2023,"A minimum of five years IT experience which at least two years at the international level and five years focused on IT security, extensive experience in working across multiple time zones without the need for face-to-face meetings, experience in ICT audit, compliance or governance, experience working in an environment where work hours are scheduled shifts corresponding to forecasted activity, experience working outside of core business hours, including early morning, late evening, overnight, weekends, and/or holidays as needed, experience in application behaviour-based security approach Expert knowledge of English "
World Health Organization,Monitoring and Evaluation Officer ,"Baku, Azerbaijan",15. March 2023,03.03.2023,"Bachelor’s degree in social sciences and a master’s degree in public health or a related focus area from an accredited/recognized institution, Master’s level in public health, epidemiology or a related focus area At least five years‘ of relevant experience at the national or international level, in implementation of public health monitoring and evaluation, health informatics, or health policy and surveillance, specific experience on M&E, strong analytical skills and ability to review and synthesize information from multiple sources, demonstrated writing and editing skills, with an ability to communicate effectively, strong interpersonal skills, able to work across cultures and with the capacity to build strong working relationships, knowledge of relevant software applications Fluency in English is required "
World Health Organization,Innovation and Research (INR) Consultant ,"Manila, Philippines",15. March 2023,03.03.2023,"The applicant should have a post-graduate degree in public health or other relevant field from a recognized university Experience and technical skills required: at least five years of research experience in public health or relevant social science fields, and extensive experience in preparing, implementing and documenting qualitative research, in line with best practices and paradigms of qualitative research, proven track record for professional delivery of high-quality products, relevant work experience with WHO and/or UN agencies, governmental agencies and/or non-governmental organizations, expertise in facilitating the organization of international consultations and meetings, excellent writing skills in English, including for technical and general audiences Fluency in English is required "
World Health Organization,Technical Officer (VPD Outbreaks and Response) ,"Geneva, Switzerland",21. March 2023,03.03.2023,"Advanced level university degree (master’s level degree or above) in Medicine, Epidemiology, Public Health, Global/International Health, Paediatric Health, Socio-medical Sciences, or other fields relevant to immunization, specialized training in global/international public health, health emergencies, project management, vaccinology, or related field At least seven years of relevant professional work experience in the health sector with clearly demonstrated experience in working with ministries of health in planning, implementing or monitoring immunization or emergency health programmes in low-resource environments, demonstrated experience of working with the United Nations system, including WHO country, regional and global offices and UNICEF program or supply division Fluency in English is required "
International Atomic Energy Agency,Energy Economist ,"Vienna, Austria",21. March 2023,03.03.2023,"At least seven years of working experience in analysis and modelling of energy and electricity markets, complex energy infrastructure development, and energy and sustainable development strategies, solid experience in energy system analysis and technology dynamics, extensive experience in contributing to, and/or coordinating international projects, ability to apply finance/contracting methodologies and risk reduction techniques to the life-cycle financial analysis of a nuclear power programme Excellent oral and written command of English, knowledge of other official IAEA languages is an asset "
International Atomic Energy Agency,Associate Information Officer (Editor/Social Media) ,"Vienna, Austria",23. March 2023,03.03.2023,"Minimum of two years‘ experience in journalism, public affairs or related field, plans and organizes his/her own work in support of achieving the team or Section’s priorities. Takes into account potential changes and proposes contingency plans, communicates orally and in writing in a clear, concise and impartial manner. Takes time to listen to and understand the perspectives of others and proposes solutions, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, English, French, Russian and Spanish) is an asset "
