employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,Project’s Communication Associate ,Albania,5. May 2023,26.04.2023,"Secondary education, Bachelor’s degree in communications, public relations, journalism or any related field will be given due consideration Minimum seven years (with Secondary education) or four years (with Bachelor’s degree) of relevant work experience in communications, administration and project management, experience in managing social media platforms, especially Twitter, Facebook, and Instagram, excellent English writing skills, as well as strong analytical aptitude and strong communication skills, and attention to detail, experience of working with UNDP or other international organizations is an asset, ability to communicate in a clear, concise, and unambiguous manner both through written and verbal communication, to tailor messages and choose communication methods depending on the audience. Ability to manage communications internally and externally, through media, social media and other appropriate channels, ability to create and/or edit written content for multimedia Fluency in English and Albanian is required "
UNICEF,Chief Admin & Finance ,"New Delhi, India",8. May 2023,26.04.2023,"Eight years of relevant professional work experience both at national and international level in office management, operations (administration, finance, accounting, ICT, human resources, supply) or any other relevant function in an international organization and/or large corporation is required, professional experience in an emergency duty station and large country offices is an asset, experience in UN System or other international NGO is an asset Fluency in English is required "
UNICEF,Senior Administrative & Finance Associate ,"Quetta, Pakistan",7. May 2023,26.04.2023,"An advanced university degree (Bachelor’s or higher) in finance, administrations or related field ls an asset for this job, a first University Degree in a relevant field combined with two additional years of professional experience may be accepted in lieu of an Advanced University Degree A minimum of seven years of relevant experience in the field of finance and administration is required, developing country work experience and/or familiarity with emergency is considered an asset, any other assigned administrative and finance related tasks to carried out operations activities, assist supervisor in carrying out of day-to-day operations related tasks to respond and tackle the situations in efficient and effective manners Fluency in English is required, knowledge of another official UN language or a local language is an asset "
UNICEF,Data Communication Specialist ,United States,4. May 2023,26.04.2023,"An advanced university degree (Master’s or higher) in English, communication, development studies, journalism or international relations A minimum of five years of relevant professional experience in editorial functions, this experience should demonstrate a strong track record of success in developing and executing strategic communication plans to achieve organizational goals, exceptional proficiency in written communication with a keen eye for detail, ensuring clear and concise expression of ideas and concepts, advanced knowledge of digital media communication, including social media, content management, and website frontend and backend systems, knowledge of current trends and best practices in marketing, content strategy, SEO, and analytics Fluency in English is required "
UNICEF,Talent Group for Assistants ,"Budapest, Hungary",31. May 2023,26.04.2023,"Completion of secondary education (i.e., high school diploma) is a minimum requirement supplemented by University level courses in finance, accounting or business is an asset Minimum of five years of relevant work experience is required, a completed university degree from an accredited institution will be counted toward the minimum work experience requirements. i.e. in the form of one year of completed education being equivalent to one year of relevant work experience (for fully completed degrees only), working knowledge of the Microsoft Suite of Products (MS Word, MS Excel and MS PowerPoint) is required, strong focus on accuracy and consistency, with strong analytical, data extraction and reporting skills is required, work experience with a development organization is an asset Fluency in English (verbal and written) is required "
UNICEF,Fundraising Officer ,"Asuncion, Paraguay",4. May 2023,26.04.2023,"A first level university degree ( (Bachelor’s degree or equivalent) in Administration, Marketing, Communications, Fundraising, Management or another relevant technical field is required. An advanced university degree (Master’s degree or equivalent) in the mentioned areas will be considered an asset A minimum of one to five years of professional experience in private sector fundraising is required, with progressively increasing responsibilities, including direct responsibility for setting and meeting income targets, experience in, and knowledge of, the country context is an asset, relevant marketing experience will be considered as contributing to this work experience, familiarity with the private sector, international fundraising experience is an asset, previous managerial experience is essential Fluency in English is required "
Food and Agriculture Organization of the,,"Rome, Italy",15. May 2023,26.04.2023,"Education Specialist University degree (PhD preferred) in Education, Behavioural Science, Psychology, Behavioural Economics or related field At least one to four years (for CAT C), at least five years (for CAT B) and at least 12 years (for COF Category A)/15 years (for PSA CAT A) of relevant experience in applying behavioural science and insights in educational and capacity building programmes and initiatives, including integrating behavioural science principles into the educational curricula on climate change, biodiversity, agriculture nutrition or related environmental and social issues Working knowledge (level C) of English, French or Spanish "
Food and Agriculture Organization of the,,"New Delhi, India",8. May 2023,26.04.2023,"Coordinator Indian national, graduate of an accredited university or similar institution of higher education in livestock and/or animal health sciences, or related field At least 10 years of relevant experience, familiarity and expertise in emerging disease threat prevention and control, experience engaging with diverse stakeholders, from livestock owners to ministerial staff, extent of relevant experience with internationally funded projects, familiarity and experience with One Health, experience with organizing participatory workshops, experience with team management, proficiency in MS Office, willingness and ability to travel to remote, rural locations Working knowledge of spoken & written Hindi and English "
Food and Agriculture Organization of the,,"New Delhi, India",8. May 2023,26.04.2023,"Coordinator University degree in law, social sciences, gender, international development, public management and administration or other relevant related fields is required At least five years of experience in any of the following areas (including a combination): prevention of sexual exploitation and abuse, gender, gender-based violence, victim centred approach, GBV case management, demonstrated experience of working on projects at the field level in Asia and the Pacific is an advantage, understanding of the international development and humanitarian architecture, in particular the Protection Cluster/sub-cluster architecture as well as the guiding principles in Protection and accountability to affected population Working knowledge (level C) of English "
Food and Agriculture Organization of the,,"Rome, Italy",15. May 2023,26.04.2023,"Consultant University degree in a subject related to the work of the Organization At least one year (Category C) of professional experience in promoting and mainstreaming the Leave No One Behind agenda thematic areas within the framework of emergency and resilience settings, strong communication and presentation skills, strong research and analytical, synthesis and writing skills, ability to deliver outputs by agreed deadlines, sometimes at very short notice Working knowledge (level C) of English and/or French and limited knowledge (level B) of any other official language of the Organization (Arabic, Chinese, Spanish or Russian), for PSA, working knowledge (level C) of English and/or French "
