employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,ICT Help Desk Support ,"Brasilia, Brazil",18. April 2023,15.04.2023,"High school degree or bachelor degree in Computer Science or ICT related field is desirable, but it is not a requirement In case of high school degree, a minimum of three years of relevant ICTworking experience, including network support, support to management of hardware and software platforms, telecommunications facilities, Windows-based packages/applications presential and remote support, in case of bachelor degree, years of experience are not required, interpersonal skills suitable for teamwork, time management, research best practices and poses new, more effective ways of doing things, Documents innovative strategies and new approaches, plans and monitorsown work, pays attention to details, delivers qualitywork by deadline Fluent in Portuguese and English "
United Nations Development Programme,Programme Assistant ,"Bangkok, Thailand",19. April 2023,15.04.2023,"Minimum five years (with secondary education) or two years (with Bachelor’s degree) of relevant administrative or programme experience Programme administration and budget monitoring, applied skills in computers and office software packages (MS Word, Excel, etc.) and knowledge of spreadsheet and database packages, experience in handling of web-based management systems, knowledge of administrative and finance policies of international organizations including the UN would be desirable, plans and monitors own work, pays attention to details, delivers quality work by deadline, open to creative ideas/known risks, is pragmatic problem solver, makes improvements, open minded and curious, shares knowledge, learns from mistakes, asks for feedback Fluency in English and Thai is required "
UNICEF,Construction Specialist ,"Gaziantep, Turkey",19. April 2023,15.04.2023,"A minimum of five years of relevant experience, at the national and/or international levels, in project management, site supervision, quality assurance and/or other directly related technical fields is required, Understanding of development and humanitarian work, emergency experience an advantage Fluency in English is required, knowledge of Arabic is an asset "
UNICEF,Programme Specialist (Sexual Exploitation & Abuse) ,"Gaziantep, Turkey",19. April 2023,15.04.2023,"Advanced university degree or equivalent in public health, the social sciences or other relevant field related to CPiE/GBViE in emergency programming A minimum of five years of professional experience in design, implementation and management of protection or GBV programming, PSEA and child safeguarding, preferably with the UN and/or international NGO, experience working in humanitarian contexts. Familiarity with the latest development in PSEA, inter-agency PSEA responses and humanitarian cluster systems, excellent communication skills. Proven ability to work independently under difficult conditions, excellent facilitation, training, networking and advocacy skills, demonstrated Fluency in English is required, knowledge of another official UN language or a local language is an asset "
UNICEF,Internship for Digital Media and Communication ,"Budapest, Hungary",16. April 2023,15.04.2023,"Current enrolment in a degree programme at the Bachelor or Master’s level or recent graduate (up to two years) in Marketing, Communication, Public Relations, Journalism, or related field Intermediate to advanced knowledge of Microsoft Word, Excel, and PowerPoint, proven knowledge of advertising platforms, including Facebook, Instagram, Twitter, LinkedIn, YouTube, and Google, experience with producing graphic designs for social media through software such as Canva or Adobe InDesign/Illustrator would be a strong asset, experience working in an NGO, UN, or development agency would be a strong asset, proven ability to collaborate and work in a multidimensional team environment Fluency in English and Hungarian is required, only applicants who are fluent in both languages will be considered "
UNICEF,Public Partnership Officer ,"New Delhi, India",30. April 2023,15.04.2023,"An advanced university degree (Master’s or above) is required in one of the following fields: international relations, political science, communications, international development, or another relevant technical field, a first University Degree (Bacherlor’s) in a relevant field combined with two additional years of professional experience may be accepted in lieu of an Advanced University Degree A minimum of two years of relevant professional experience in one or more of the following areas is required: partnerships, public affairs, programme management, resource mobilization and proposal development, external relations, donor reporting, or other relevant area, prior experience of working with the United Nations in areas of partnerships, resource mobilization, donor reporting, Value for Money analysis would be an asset Fluency in English is required "
UNICEF,Social Policy Specialist (Social Protection) ,"Budapest, Hungary",17. April 2023,15.04.2023,"An advanced university degree in one of the following fields is required: Economics, Public Policy, Social Sciences, International Relations, Political Science, or another relevant technical field A minimum of five years of relevant professional work experience in the field of social protection/cash programmes, planning, design and implementation is required, experience gained in Middle/High Income Countries is desirable, experience working with local/national governmental entities is desirable, experience working on social policy and social protection workforce development as well as experience in capacity building will be considered as a strong asset, supports the identification of policy options for improved domestic financing of child-sensitive social protection interventions Fluency in English is required "
The World Bank,Energy Specialist ,"Bishkek, Kyrgyzstan",20. April 2023,13.04.2023,"Demonstrated working experience in sector and tariff reforms, transmission and distribution network improvement, energy efficiency, renewable energy, heating, energy regulation will be an advantage, strong research and analytical skills with demonstrated ability to deliver high caliber analytical work will be an advantage, excellent oral and written communication in English. Kyrgyz and Russian will be an advantage, ability to work under tight deadlines, manage multi-task requirements and a high degree of pro-activity and initiative, willing to travel as the position may require, knowledge and experience in Development Arena Fluency in English is required "
The World Bank,Senior Economist/Team Lead Health Financing ,"Washington, United States",18. April 2023,13.04.2023,"Experience working with national governments and other partners at national and sub-national level in policy dialogue and the design of health financing reforms, strong track record of high quality analytical and operational programming in topics related to the health financing agenda is a requirement, experience and strong track record in cultivating and leading high impact teams, including developing and supporting the implementation of work programs with a track record of collectively delivering results as well as experience mentoring and supporting staff and an ability to create a collaborative work culture,demonstrated experience building and maintaining internal and external strategic partnerships with diverse stakeholders Fluency in English is required "
The World Bank,ETC – Health Specialist ,"Washington, United States",1. May 2023,13.04.2023,"Master’s degree with five years of experience or equivalent combination of education and experience Strong theoretical base in subject area, combining a broad grasp of relevant theory and principles and of involved practices and precedent, ability to translate theory into practical applications in context of Bank work, ability to participate in multi-disciplinary teams, valid and current US Registered Nurse licensure, certification, or other professional recognition per local public health authority requirements, able to take 24-hour nurse call duty assignment, ability to travel internationally as required, demonstrated ability to work collaboratively in a multi-disciplinary and multi-cultural team environment, proficiency in two or more languages, five or more years of experience working as in-house nurse for a large employer, demonstrated excellence in clinical judgement and decision-making, experience working with international organizations/ multicultural populations Proficiency in written, spoken, and clinical English "
