employer,job_title,place,closing_date,publishing_date,job_description
Organization for Security and Co-operation in Europe,"Local Intern, Novi Pazar Training Facility ","Novi Pazar, Serbia",7. June 2023,24.05.2023,"Citizenship of or permanent residence in the Republic of Serbia, applicants should be under the age of 30 on the date of the deadline of this vacancy, University degree in political studies, law, international relations, development studies, journalism, communication and humanities, or completion of at least two years of full-time studies in the aforementioned fields from an accredited institution in lieu Strong analytical, research and drafting skills, attention to detail, strong organization skills and ability to deliver tasks within agreed timelines, ability to work independently, as well as in a wider team, in a dynamic environment, combining online and in-person work, ability to multi-task and demonstrate initiative, political sensitivity and awareness of the national and regional context Fluency in English and Serbian is required "
Organization for Security and Co-operation in Europe,National Programme Officer ,"Skopje, North Macedonia",13. June 2023,24.05.2023,"Citizenship of or permanent residence in the Republic of North Macedonia, First-level university degree in law, political sciences, social sciences, economics, international relations, international human rights law, development and democratisation or other fields in humanities and social sciences Minimum two years professional experience in democratic governance at national or international level, or national or international non-governmental organization, with practical experience in conducting and managing training activities in the country, demonstrated experience in drafting project proposals, analytical reports, research, project outlines and overall experience in project management, Computer literate with practical experience with Microsoft applications Fluency in English is required "
Organization for Security and Co-operation in Europe,"Associate Programme Officer, Roma and Sinti Issues ","Warsaw, Poland",29. June 2023,24.05.2023,"At least four years of progressively responsible professional experience at national and international levels in human rights, public policy, Roma and Sinti or related field (either in governmental, international organization or NGO), proven experience in human and minority rights, in Roma and Sinti issues or other vulnerable groups, familiarity with national, regional and international policies and initiatives addressing Roma and Sinti;, demonstrated experience in designing, planning and implementing project activities addressing the situation of Roma and Sinti with a gender mainstreaming and/or diversity management approach Fluency in English is required "
Organization for Security and Co-operation in Europe,Associate Project Officer ,"Vienna, Austria",12. June 2023,24.05.2023,"First-level university degree in political sciences or international relations or other relevant social science discipline A minimum of four years of practical experience in security policy and/or SALW control, demonstrated experience applying project management techniques, Computer literate with practical experience with Microsoft applications, demonstrated gender awareness and sensitivity, and an ability to integrate a gender perspective into tasks and activities, ability to establish and maintain effective working relationships with people of different national, cultural and professional backgrounds, whilst remaining impartial and objective Professional fluency in English including excellent drafting skills, knowledge of other OSCE official languages would be an asset "
World Food Programme,Programme Associate ,"Tunis, Tunisia",5. June 2023,24.05.2023,"Three years of experience in the national and/or international level in Former contribution to Programme management (preferably in development e.g Resilience & Emergency preparedness, experience in Humanitarian Programmes is an asset as UN or other international development organization, experience with technical teams (i.e. nutrition, VAM, etc.), experience in the implementation of programmes, experience with policy discussions, effective organizational and problem-solving skills and ability to manage a large volume of work in an efficient and timely manner French, level: fluent, required English, level: fluent, required Arabic, level: working knowledge, desirable "
World Food Programme,Senior Security Officer ,"Damascus, Syria",3. June 2023,24.05.2023,"Advanced University degree in Security Management, International Relations or Law Enforcement, Risk Management, Stratetic Studies or other relevant field, or First University degree with additional years of related work experience and/or training/courses, a diploma obtained from Military/Police Academy with qualifying relevant experience may be accepted in lieu of the First University degree A minimum of eleven years of relevant progressively responsible postgraduate experience in Safety and Security Risk Management, at least seven years of which in the non-profit sector with demonstrated capabilities in planning, organizing and executing complex humanitarian security operations in conflict or high-risk settings would be an added value Fluency in English is required "
World Food Programme,Prog. Associate for Cooperating Partners Management ,"Cairo, Egypt",5. June 2023,24.05.2023,"Minimum of three years in any of these areas, partner­ships management, programme implementation, monitoring, and evaluation for a humanitarian or development agency, familiarity with Project Lifecycle, transfer Modalities (Food, Cash, Voucher), Broad Knowledge of specialised areas (i.e. Nutrition, Vulnerability Analysis & Mapping, etc.), general knowledge of UN system policies, rules, regulations, and procedures in the area of work in various operational contexts is an asset, demonstrates commitment to gather perspectives, analyse options and risks, and propose new ways of doing things Fluency (level C) in the English language, both oral & written, intermediate knowledge of French is an asset "
World Food Programme,WFP Global Office Berlin - Business Support Assistant ,"Berlin, Germany",29. May 2023,24.05.2023,"Five or more years of progressively responsible work experience in the relative business stream with experience in general administrative work, knowledge of specialised common business practices and methods, gained through relevant technical training and experience, ability to develop and maintain relationships with a range of individuals in order to provide a high-quality support service, ability to carry out basic data analysis and independently rectify problems requiring attention, ability to monitor and record financial transactions, good communication skills required to give and receive information and work with a variety of individuals Working knowledge (proficiency/FAO level C) of English and at least intermediate knowledge (level B) of German "
World Food Programme,Corporate Planning and Performance Consultant ,"Rome, Italy",29. May 2023,24.05.2023,"Advanced University degree in Economics, International Business Management or in International Relations or Political Sciences or other relevant fields, or First University degree with additional years of related work experience and/or trainings/courses Six years or more of relevant, progressive postgraduate work experience in management consulting and/or relevant fields, experience in working with Senior Leaders/Managers, experience in working in a front office/divisional or department support, experience in cross-team or cross-functional coordination, knowledge of cost analysis, budget/financial management and performance reporting Fluency (level C) in English language is essential, intermediate knowledge (level B) of a second official UN language is preferred "
Organization for Security and Co-operation in Europe,Assistant Project Officer ,"Vienna, Austria",2. June 2023,24.05.2023,"Minimum two years of working experience with international organizations, experience in co-operation on politico-military security issues is an asset, experience in project planning, management and implementation, working experience within the area of gender, youth and politico-military issues as well as experience with management methodology would be an asset, e-communication skills, experience in management of e-learning platforms and online tools of learning, excellent oral and written communication skill in English, other OSCE languages would be an asset, demonstrated gender awareness and sensitivity, and ability to integrate a gender perspective into tasks and activities, Computer literate with practical experience with Microsoft applications Fluency in English is required "
