employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,Procurement Associate ,"New York, United States",21. June 2023,15.06.2023,A minimum of six years (with Secondary education) or three years (with Bachelor´s degree) Fluency in English is required 
United Nations Development Programme,Techn. Procurement Specialist ,"Copenhagen, Denmark",21. June 2023,15.06.2023,"Minimum five years of national/international professional experience in procurement engineering, construction contract management or project management is required, (seven years of above relevant experience if Bachelors), work experience from developing countries is highly desirable, experience in the use of computers and office software packages as well as web-based management systems, excellent writing, research, analysis and presentation skills, knowledge of UN and/or public procurement procedures and practices is highly desirable Working knowledge of English required, working knowledge of another UN language is highly desirable "
United Nations Development Programme,Urban Risk Management and Resilience Expert ,"Panama City, Panama",27. June 2023,15.06.2023,"Minimum of five years of professional work experience with a Masters Degree and a minimum of seven years professional work experience with a Bachelor’s Degree at regional and/or international level providing policy advice, programme support, research and analysis in urban risk management and resilience, disaster/climate risk management, DRR-CCA integration, climate adaptation and related areas in different development contexts Fluency in English both oral and written, is required, working knowledge of other official UN languages is an asset "
United Nations Development Programme,Operations Associate Volunteer Management ,"Bonn, Germany",19. June 2023,15.06.2023,"Secondary education with specialized training in human resources, business or public administration, or related field, University degree in human resources, business or public administration is desirable, but not a requirement Seven years of relevant experience in volunteer management, personnel and/or business process management, alternatively, Bachelor’s degree in a relevant field in combination with four years of experience in volunteer management, personnel and/or business process management may be accepted, experience in MS Office (Word, Excel, etc.), experience working in web-based management/CRM systems, experience in an international or non-profit context would be an asset, experience working with volunteer recruitment would be an asset, ability to effectively plan, organize, and oversee the Organization’s business processes in order to convert its assets into the best results in the most efficient manner, knowledge of relevant concepts and mechanisms Fluency in English, proficiency in Spanish, French, or another official UN language would be an asset "
International Atomic Energy Agency,Radiation Safety Specialist ,"Vienna, Austria",4. July 2023,15.06.2023,"Minimum seven years of experience in radiation safety, experience with the Integrated Regulatory Review Service an asset, experience in implementing cooperation projects on regulatory infrastructure with the IAEA an asset, ability to work in a multicultural environment with sensitivity and respect for diversity, knowledge and experience in the drafting technical reports and reviews Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Regulation Measurement Control Technician ,"Seibersdorf, Austria",27. June 2023,15.06.2023,"Completed secondary education Relevant Technical High School (HTL) in the field of expertise, at least five years of working experience with building automatization and control systems, applying relevant software in technical control of the buildings, experience with relevant and state of the art software applications, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme. Evaluates his/her results realistically, drawing conclusions from lessons learned, plans and organizes his/her own work in support of achieving the team or Section’s priorities Excellent oral and written command of English and German, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset, administrative skills testing (to IAEA standard) might be part of the selection process "
International Atomic Energy Agency,Section Head (Nuclear Fuel Cycle Information Analysis) ,"Seibersdorf, Austria",17. June 2023,15.06.2023,"Minimum of 10 years of experience, including at international level, in information management and analysis related to nuclear fuel cycle data and non-proliferation issues, with at least seven years of demonstrable experience in information collection, processing, analysis and the use of complex tools and techniques, significant experience in developing, leading and motivating teams dedicated to information analysis, determining clear goals, roles and responsibilities, providing feedback on performance, and encouraging staff development, demonstrated ability to exercise unbiased, tactful and prudent judgement on sensitive issues, based on in-depth factual analysis Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Emergency Preparedness Officer ,"Vienna, Austria",4. July 2023,15.06.2023,"A first level university degree in natural sciences, nuclear engineering or a related field Minimum of five years of experience in preparedness for and response to nuclear or radiological emergencies at the national level, experience in developing and implementing of safety standards, technical guidance and tools in the area of emergency preparedness and response at the national and international levels as well as of emergency response plans at the national or facility levels, knowledge of radiobiological concepts and their application to nuclear and radiological emergency preparedness and response is an asset Excellent oral and written command of English, knowledge of other official IAEA languages is an asset "
International Atomic Energy Agency,Section Head (Nuclear Power Technology Development) ,"Vienna, Austria",17. June 2023,15.06.2023,"Demonstrated experience in the management of projects, including their design, monitoring and implementation, as well as in the management of human and financial resources, demonstrated technical experience and knowledge in safety practices and standards, recognition in the international community for her/his expertise or experience of working in a national/international nuclear organization or institute are valuable assets, in-depth knowledge of currently available technologies for nuclear power plants, including fusion technologies, and the issues associated with their applications Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
UNICEF,Research Assistant ,"Hong Kong, China",20. June 2023,09.06.2023,"One years of experience in public health or environment related fields or two years enrolled in relevant university program (Master or PHD), provides research assistance on matters related to environmental health, climate change, water and sanitation, supports in communication with stakeholders Working knowledge, required English, level: working knowledge, required "
