employer,job_title,place,closing_date,publishing_date,job_description
International Atomic Energy Agency,Water and Energy Policy Adviser ,"Dushanbe, Tajikistan",25. May 2023,20.05.2023,"First-level university degree in environmental studies, economics, natural resources management, regional planning and development or related fields, or equivalent professional experience in such areas Work experience in the fields of environmental development and protection, water resources managfement, economics, business development, regional planning and development, experience working with developing or transitional economies, sound knowledge of water sources management and energy policy principles aimed at ensuring sustainable development, experience in environmental development and protection, ability to establish contact and develop confident relations with government officials and institutions, as well as civil society Fluency in English is required "
International Atomic Energy Agency,Senior Adviser on National Minorities ,"Belgrade, Serbia",5. June 2023,20.05.2023,"First-level university degree in political sciences, social sciences, international relations, public policy, law or equivalent professional experience Minimum six years of relevant professional experience, work experience in either public administration, relevant international organizations, civic associations (including NGOs), political parties/affairs, or economic and political development, demonstrable organizational, communication, analytical and interpersonal skills, experience in the area of national minority issues, including at least two years at international level, excellent knowledge of international standards and best practices in the protection of national minorities Professional fluency in the English language, both oral and written "
United Nations Development Programme,Executive Associate ,"Havana, Cuba",30. May 2023,17.05.2023,"Minimum of six years (with Secondary Education) or three years (with Bachelor´s Degree) of proven experience in fields related to executive secretarial services or administrative support, experience in the use of computers, office software packages (MS Word, Excel, etc), and in handling web-based management systems such as ERP, knowledge and experience in the management of human resources is an added value, please note that continuance of appointment beyond the initial 12 months is contingent upon the successful completion of a probationary period, demonstrates compassion/understanding towards others, forms positive relationships Fluency in English is required "
United Nations Development Programme,Procurement Assistant ,Mexico,29. May 2023,17.05.2023,"Secondary Education with specialized procurement training Five years of relevant experience with Secondary Education or two years of relevant experience with Bachelor’s degree, relevant procurement and/or administrative experience is required at the national or international level, experience in the usage of computers and office software packages (MS Word, Excel, etc) and experience in handling of web-based management systems Fluency in Spanish, working knowledge of English "
Food and Agriculture Organization of the,,"Rome, Italy",5. June 2023,17.05.2023,"(Commodities) Advanced university degree in economics, agricultural economics or a related field Ten years of relevant experience in commodity market assessment and analysis, price and policy analysis, commodity market outlook and projections, and food security issues, including through a relevant publication record, proven ability to lead and work with a diverse team of people of different national and cultural backgrounds in an international setting Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another FAO official language (Arabic, Chinese, French, Russian or Spanish) "
Food and Agriculture Organization of the,,"Rome, Italy",12. June 2023,17.05.2023,"and Trade Division Advanced university degree in agricultural economics, economics or a related field, additional qualifications related to agricultural trade and commodity markets and/or a relevant Ph.D. would be an asset Minimum twelve years of relevant experience in the analysis of commodity markets and agricultural trade, price and policy analysis, and food security issues, including a relevant publication record, demonstrated technical leadership and experience in agricultural trade and market policy issues with particular emphasis on issues of concern to developing countries, demonstrated skills and experience in managing for results, supervising and networking, including possible relevant working experience in a developing country context, international experience in providing policy advice to high-level decision-makers, including in intergovernmental settings Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another FAO official language "
United Nations Development Programme,UN Clinic Physician ,"Mogadishu, Somalia",29. May 2023,17.05.2023,"Must have acute trauma care and life support (ATLS) certification with validity covering the deployment period, pre-hospital trauma life support (PHTLS), Advanced Cardiac Life Support (ACLS) Advanced Medical Life Support (AMLS) or equivalent certifications are desirable with validity covering the deployment period, must be currently registered by a national medical board or council to practice medicine in their own country or another UN member state. License validity should cover the deployment duration English, level: fluent, required French, level: working knowledge, desirable Somali, Level: working knowledge, desirable "
United Nations Development Programme,Programme Specialist Peacebuilding ,Libya,15. June 2023,17.05.2023,"Master’s Degree or equivalent in Economics, Development Economics, Public Administration, Political Sciences, Social Sciences, Agriculture or related fields Minimum five years of relevant experience at the national or international level in (a) the provision of analytical, advisory and technical assistance in complex development settings, (b) the design, monitoring and monitoring of development strategies/programmes and (c) the establishment of effective partnerships with a wide set of stakeholders including: national governments, civil society, academia, the UN and private sector, proven experience and substantive expertise in programming in peacebuilding and livelihoods, particularly in areas related to: resilience programming, employment generation, income diversification, social cohesion and community reconciliation especially at the subnational levels i.e. community levels Fluency in English and Arabic "
United Nations Development Programme,Social Innovation Analyst ,"Manila, Philippines",29. May 2023,17.05.2023,"Bachelor’s degree in industrial design, general design, technology & innovation, social sciences, sociology, development economics, community development, public administration, management, communication, innovation, or other related fields, or advance university degree (master’s degree or equivalent) in the above fields is an advantage Minimum of four years‘ work experience for bachelor’s degree holder and two years for Advanced degree holder in the field of design, planning, implementing, coordinating, monitoring, and/or evaluating development programs and projects and/or innovation and social impact enterprises or projects, project Management, ability to plan, organize, and control resources, procedures, and protocols to achieve specific goals, ability to get things done while exercising good judgement, ability to set goals and indicators and to interpret and synthesize results into usable information to inform policy, strategy, and/or action Proficiency in spoken and written English and Filipino is required "
International Atomic Energy Agency,IT Project Manager ,"Vienna, Austria",29. May 2023,17.05.2023,"Minimum of five years of experience as IT project manager, in an information systems context, in a client-facing role, project management experience utilizing a structured methodology such as PMP or PRINCE2, experience in leading software delivery teams using a lean/agile approach such as SCRUM, experience with Software Development Lifecycle, with a particular focus on eliciting and documenting business process flows, user stories and non-functional requirements, quality management, planning and executing user acceptance testing, end-user training, documentation and support, experience in working with mixed onsite/offsite teams will be considered an asset Fluency in English is required "
International Atomic Energy Agency,Safeguards Asset Provision Assistant ,"Vienna, Austria",12. June 2023,17.05.2023,"Completed secondary education, emphasis on commercial area is an asset Additional study or training in contracting or a recognized qualification in procurement is an asset, minimum of six years of relevant work experience, preferably in an international environment, minimum of two years of experience in procurement and provision of products and services to the end users, administrative skills test to IAEA standard may be part of the process, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme, evaluates his/her results realistically, drawing conclusions from lessons learned, actively contributes to achieving team results, supports team decisions Excellent oral and written command of English and German, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,HR Officer (Talent Outreach) ,"Vienna, Austria",9. June 2023,17.05.2023,"University degree in Human Resources Management, Business Administration, Psychology, Organisational Development, Public Administration or related field A minimum of five years professional experience in human resources management with emphasis on recruitment and talent outreach, relevant experience at the international level/national level is highly desirable, good understanding and implementation of recruiting metrics to drive decision-making is strongly preferred, experience in handling recruitment related matters with a high degree of tact, diplomacy and discretion, and proven ability to maintain confidentiality, experience in working effectively with people of different national and cultural backgrounds with sensitivity and respect for diversity, experience developing and executing recruiting marketing and branding strategies Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
Organization for Security and Co-operation in Europe,Project Assistant ,"Vienna, Austria",22. May 2023,11.05.2023,"A minimum of three years of working experience in an international environment, experience in multilateral affairs, project management (implementation and evaluation) is highly desirable, experience in police reform-related programmes and projects is a distinct asset, procurement, contracting and/or budget knowledge would be an asset, demonstrate planning and organizing skills, including prior experience in organizing meetings, trainings and/or conferences, excellent drafting and reporting skills, demonstrated research and analytical skills Professional fluency in English with excellent communication (both oral and written) skills, knowledge of other OSCE languages is a distinct asset "
Organization for Security and Co-operation in Europe,Internal Communications Officer ,"Vienna, Austria",30. May 2023,11.05.2023,"First-level university degree in journalism, communications, political science, international affairs, or another related field A minimum of six years of progressively responsible professional experience in communications (including social media, digital communications, media relations, public relations and advocacy), preferably in an international organisation or non-governmental organisation, experience using political judgement and analytical skills and convincingly presenting the activities and achievements of the Organisation to media representatives Fluency in English is required "
Organization for Security and Co-operation in Europe,Rule of Law Monitoring Assistant ,"Travnik, Bosnia and Herzegovina",24. May 2023,11.05.2023,"Completed secondary education, additional coursework in law desirable Minimum four years of relevant work experience in legal and/or human rights field, first-level university degree in law may be considered as a substitute for one year, and an advanced level degree in law may be considered as a substitute for two years of work experience, working knowledge of European and/or international human rights conventions, willingness and experience working in a challenging environment, flexibility, patience and ability to work under pressure and time constraints Professional fluency in English with excellent communication (both oral and written) skills and in the local languages "
World Health Organization,Programme Assistant ,"Tunis, Tunisia",23. May 2023,11.05.2023,"At least five years ofprogressive administrative/finance related experience, WHO/UN experience will be asset, good knowledge of WHO rules, manuals, practices/procedures and routines, good filing and organizational skills, ability to maintain good working relationships with staff, experts and visitors, ability to translate routine correspondence, producing and delivering quality results in pressing situations and conflicting priorities, assess the critical nature of technical issues from both the nationalcounterparts and regional office and direct them to appropriate staff for reply, coordinate appointments for supervisors Expert knowledge of English, expert knowledge of French, expert knowledge of Arabic "
World Health Organization,Technical Officer (Laboratory Specialist) ,"Copenhagen, Denmark",29. May 2023,11.05.2023,"Laboratory specialist in medical microbiology/virology (Bachelor’sdegree in microbiology, virology, biology or laboratory science), additional university degree or postgraduate training in any of the above fields At least five years of documented work experience in and/or with medical microbiology/virology, relevant work experience with WHO or another international public health organization/UN agency in the area of quality assurance monitoring in public health laboratories supporting disease elimination or eradication programmes, excellent knowledge of laboratory quality management and EQA monitoring, working experience of WHO laboratory accreditation criteria and procedures "
World Health Organization,"Business Management System, Human Resources Expert ","Istanbul, Türkiye",29. May 2023,11.05.2023,"At least five years of relevant professional experience in respective functional area of Human Resources including experience of related WHO Business Operations, Relevant professional experience within WHO, the United Nations or other international organizations Expert knowledge of English, working/intermediate knowledge of either French, Russian or German "
World Health Organization,"Director, Coordinated Resource Mobilization ","Copenhagen, Denmark",29. May 2023,11.05.2023,"Master level university degree in business administration (e.g. marketing), business management, international/public relations, public administration, economics, or a related and relevant discipline Minimum of 15 years‘ experience in the area of resource mobilization in an international, inter-governmental, non-governmental or UN organization or in a major donor entity Fluency in English is required "
World Health Organization,Programme Officer ,"Geneva, Switzerland",23. May 2023,11.05.2023,"An advanced level university degree (Masters level or above) in Business Administration, Management, or related field relevant to the position A minimum of seven years professional experience in conducting financial management, budget and work planning related programme activities as well as working in the area of administration, demonstrated experience at the international level, experience working in an international organization, strong expertise in budget and financial planning and accounting, concrete skills in project management and work planning Fluency in English is required "
United Nations Development Programme,Communications Associate ,"Suva, Fiji",21. May 2023,10.05.2023,"Minimum six years (with secondary education) or three years (with Bachelor’s degree) of relevant experience at the national or international level in public relations, communications, or advocacy, experience in the usage of computers and office software packages, good knowledge, and experience in handling of web-based management systems, experience in digital communications is required, experience in working with media is required, experience in social media is an advantage, knowledge of Adobe software solutions (Photoshop, Audition, Premiere, etc.) is an asset Fluency in English is required "
United Nations Development Programme,Digital Communications Analyst (National Position) ,"Kyiv, Ukraine",14. May 2023,10.05.2023,"Master’s Degree or equivalent in communications, public relations, journalism, international relations, political/social sciences, or related field, Bachelor’s degree with additional two years of extensive progressively responsible relevant experience is accepted in lieu of Master’s degree Minimum of two years of of progressively responsible professional experience in the media/public relations/communications or related field, Bachelor’s degree with minimum four years of relevant work experience, strong writing and editing skills in English and Ukrainian required, experience with content management systems and visual story telling platforms required, solid experience with social media campaigns and community engagement required Fluency in English, Ukrainian (both written and spoken) "
