employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,Project Risk Specialist ,"Kabul, Afghanistan",6. March 2023,25.02.2023,"Five years of experience in risk management, audit and finance, project management with international/governmental organisations and highly volatile experience is required, demonstrated experience in programme risk management and implementation of mitigation strategies, proven experience in programme risk management, both in terms of design and implementation of mitigation strategies, experience working in conflict environments in geo-politics, social & environmental analysis, monitoring and information/intelligence collection and assessment Fluency in English is required "
United Nations Development Programme,International Consultant Senior Anti- Corruption Expert ,"Riyadh, Saudi Arabia",28. February 2023,25.02.2023,"Bachelor’s degree in law, International Relations or a related field 15 years and above of experience in Anti-Corruption field or related field, experience in working with government institutions, academia & research institutions, or international organizations, this includes knowledge in producing expertise in the field and leadership skills to support the implementation of large Anti-Corruption projects, knowledge and understanding of the laws and regulations in Saudi Arabia are desired, experience of working with the Organisation for Economic Co-operation and Development (OECD), good understanding of the UN programming principles and UN capacity development mandate or other similar context, strong strategic thinking and analytical skills Fluency in spoken and written English "
United Nations Development Programme,Technical Assistant for Blue Startup Hub ,"Jakarta, Indonesia",2. March 2023,25.02.2023,"Bachelor’s degree in development studies, international relations, economics/economic development, political science, or related fields, with additional years of experiences, or high school with additional three years of relevant experiences will be given due consideration in liue of Bachelor’s degree Min. years of relevant work experience, two years (for bachelor’s degree) or five years with High School of professional experiences in project coordination and management environment related project/related and on the area of entrepreneurship or impact investing, solid knowledge and practical experience in assisting project/program implementation in the area of entrepreneurship, solid experience in project management, experience in the impact investment issue Very good spoken and written Indonesian and English "
United Nations Development Programme,Engineering Associate (Civil Engineering) ,"Belgrade, Serbia",2. March 2023,25.02.2023,"Secondary education, Bachelor’s Degree in civil engineering or similar would be desirable Minimum six years of relevant working experience in construction-related project management, in particular in the fields of Construction Engineering – Construction management with quality control of performed works, alternatively, if in possession of Bachelor’s degree, three years of relevant working experience would be required, good organizational and time management skills, displays cultural, gender, religion, race, nationality and age sensitivity and adaptability, demonstrates integrity by modeling ethical standards, builds strong relationships with clients and external actors, evidence of ability to express ideas clearly; to work independently and in team Excellent knowledge of written and spoken Serbian and working knowledge of English "
United Nations Development Programme,Programme Associate (Finance/Accounting & Admin) ,"Hanoi, Viet Nam",15. March 2023,25.02.2023,"Secondary Education is minimum but prefer Bachelors‘ degree in accounting, business or public administration, economics, social sciences, or related fields A minimum seven years (with secondary education), or four years (with Bachelors‘ degree) of progressively responsible finance and administrative or programme/project implementation support experience is required, experience in usage of Excel and accounting spreadsheets/ software/systems/handling of web-based management systems, experience in budget planning, financial management and reporting, and procurement, demonstrated working experience in organizing and successfully delivering high-level political events, knowledge of UNDP programme practices and experience working with UN administration is an asset Full fluency in English and Vietnamese is required "
The World Bank,E T Temporary ,"Beijing, China",1. March 2023,25.02.2023,"Excellent knowledge of Microsoft Word, Excel, Outlook and PowerPoint, knowledge of and ability to execute business processes involving diverse and intricate work procedures related to the processing and production of assigned outputs in an accurate and timely manner, effective time management and organizational skills and ability to produce high quality work under pressure, demonstrated initiative and resourcefulness, committed team player with demonstrated inter-personal skills and ability to work effectively in a multi-cultural environment, ability to draft routine correspondence and edit materials in English and Chinese using proper grammar, punctuation and style, ability to adapt to changing business needs by continuous learning/training Fluency in English and Chinese is required "
The World Bank,Project and Learning Tools Development Coordinator ,"Washington, United States",27. February 2023,25.02.2023,"Experience in leading teams and coordinating complex activities in connection with the development of training programs and tools (experience with entities of various sizes, and in developing countries and FCS is highly desirable), experience in engaging with senior officials, in both the public and private sector, proven ability to work in interdisciplinary task teams/working groups across organizational boundaries, including with senior officials, both internally and externally Fluency in English is required "
The World Bank,HR Specialist Talent Attraction ,"Washington, United States",9. March 2023,25.02.2023,"Master’s degree with at least five years in international recruitment with a proven track record in sourcing and high-volume recruitment drives Demonstrable experience searching for talent and headhunting for difficult-to-fill roles, preferably within the international development space, strong understanding of relevant core People and Culture (HR) areas (i.e., recruitment, employer branding, talent outreach, Analytics, workforce planning etc.), ability to gather and translate data into actionable insights, strategies and action plans to support corporate recruitment initiatives, familiarity with talent pools and labor trends in emerging markets, advanced knowledge of LinkedIn Recruiter as an effective tool, to source candidates, manage online campaigns, build talent pipelines, and create reports Fluency in English is required "
The World Bank,IT Analyst Client Services ,"Vienna, Austria",3. March 2023,25.02.2023,"Bachelor’s or Master’s degree with two years relevant experience or equivalent combination of education and experience Advanced skills in supporting Windows, Microsoft 365 products, VPNs, and mobile devices (iOS), excellent knowledge of virtual meeting tools, including Cisco products WebEx, Microsoft Teams and Zoom, experience in performing incident management practices using the ServiceNow system and adhering to Service Level Agreement (SLA) standards, experience supporting high-level meetings, including audio-visual, conferencing and PC support in a time-critical setting with flexibility to handle last minute and urgent requests, support installation, maintenance and upgrade of local networks and communications infrastructure as part of the office infrastructure projects Fluency in English is required "
The World Bank,Senior Accounting Assistant ,"Chennai, India",3. March 2023,25.02.2023,"Bachelor’s degree in Commerce or Master’s degree in Finance/Accounting with at least three years of work experience, CA or CPA (or an equivalent professional accounting qualification) is desirable Strong analytical skills with ability to collate and interpret data, assess issues, develop sound conclusions, formulate remedial measures with attention to detail and accuracy, experience with SAP enterprise resource planning system, Power BI, Tableau is desirable, but not required, exposure to other systems like People soft, and proficiency in Microsoft windows applications viz, Excel, word, power point would be an added advantage, a proven track record of problem-solving skills in an automated accounting environment, self-motivated person with high degree of initiative and a strong team player Fluency in English is required "
