employer,job_title,place,closing_date,publishing_date,job_description
UNICEF,Programme Associate (Emergency Section) ,"Dakar, Senegal",28. February 2023,21.02.2023,"A secondary education preferably supplemented by technical, or university courses related to the work of the organization is required A minimum of six years of administrative or clerical work experience is required, prior experience in programme support functions is an asset, relevant experience in a UN system agency or organization is considered as an asset, knowledge of the administration which underpins UNICEF regional office programme/project operations, including monitoring and evaluation processes, high sense of confidentiality, initiative and good judgment, strong office management skills, ability to effectively manage the section’s material resources and monitor its budget Fluency in English and French is required, knowledge of another official UN language or a local language is an asset "
UNICEF,Supply and Logistics Associate ,"Tashkent, Uzbekistan",27. February 2023,21.02.2023,"Completion of secondary education is required, preferably supplemented by technical or university courses related to supply chain, business administration, contract/commercial law, or another relevant technical field A minimum of six years of relevant administrative experience in supply chain management or a commercial context is required, understanding of development and humanitarian work is an advantage, thorough knowledge of a range of specialized topics, including the relevant supply chain policies, partnership mechanisms, rules, and regulations, high level of proficiency or skill is required in the interpretation and application of specialized rules and regulations to the circumstances of complex individual cases Fluency in English and Uzbek is required, knowledge of Russian and Tajik/Dari languages are considered as an asset "
UNICEF,Monitoring & Evaluation Specialist ,"New York, USA",4. March 2023,21.02.2023,"An advanced university degree (Master’s or higher) in Business Administration, Public Health, Data Science, Statistics or a related technical field is required A minimum of eight years of professional work experience especially in program evaluation, Monitoring & Evaluation or research linked to immunization is required, strong quantitative skills are an asset, experience working in a low-income setting, excellent interpersonal skills to develop and maintain good working relationships, ability to communicate effectively with a range of audiences, record of research publications in international academic journals, relevant experience in a UN system agency or organization Fluency in English (written and verbal) is required, knowledge of another official UN language (Arabic, Chinese, French, Russian, or Spanish) is an asset "
Food and Agriculture Organization of the,,"Abu Dhabi, United Arab Emirates",3. March 2023,21.02.2023,"(Senior Consultant) Master’s degree or Ph.D in economics, agricultural economics, natural resources economics Agribusiness management or a closely related field, ten years of relevant experience in agricultural economics and development policy analysis, or in the formulation and implementation of food security, agriculture, rural development, agribusiness investment operations, water and natural resource management, and related analytical studies For Consultants working knowledge of English and limited knowledge of one of the other FAO languages, preferably Arabic, for PSA, working knowledge of English would suffice "
Food and Agriculture Organization of the,,"Rome, Italy",9. March 2023,21.02.2023,"Officer Advanced university degree in communication, social science, journalism, political science or a related field Ten years of relevant experience in communications and public information with a strong emphasis on building intranets and internal communications in a UN specialized agency, work experience in more than one location or area of work, extent and relevance of experience in in coordinating and managing complex internal communication outputs including crisis communications Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another official FAO language (Arabic, Chinese, Russian, French or Spanish) "
Food and Agriculture Organization of the,,"Riyadh, Saudi Arabia",3. March 2023,21.02.2023,"and Land Cover Specialist Advanced degree in GIS, Remote Sensing, Geospatial Systems, Natural Resources, Environment, Geography or a related field Minimum five years of experience in GIS, Remote sensing, land cover and land use survey and mapping including planning and implementing landcover and land use mapping activities and application of GIS and Remote Sensing tools and systems for natural resources management, relevance and extent of experience in working with multidisciplinary teams, government development systems, and inter-governmental bodies Working knowledge (level C) of English for Personal Service Agreement, knowing one of the FAOUN language is an asset, for COF, working knowledge (level C) of English and limited knowledge (level B) of another FAO language "
Food and Agriculture Organization of the,,"Rome, Italy",1. March 2023,21.02.2023,"Consultant University degree in agricultural sciences, agricultural economics, natural resources management, agribusiness management, climate change communication, urban and territorial planning or a closely related field Minimum of one year of relevant experience in working in the agriculture sector, especially in urban and peri-urban agriculture, urban and peri-urban forestry, urban food systems, urban natural resources management, including analytical studies, and/or in the formulation and implementation urban food system strategies or investment projects in developing countries and/or countries in transition Working knowledge (level C) of English, French or Spanish and limited knowledge (level B) of one of the other two or Arabic, Chinese, Russian "
United Nations Development Programme,Procurement Officer ,"Aden, Yemen",1. March 2023,17.02.2023,"Minimum two years (with Bachelor’s degree) of relevant experience, at the national or international level, in procurement/supply chain, logistics or related areas, prior experience with a UN Agency or International Organization in the field of procurement is desirable, experience in the usage of computers and office software packages (MS Word, Excel, etc.) and knowledge of automated procurement systems, experience in handling of web-based management systems, knowledge of public procurement principles is an asset Fluency in English is required "
United Nations Development Programme,Security Operations Center Operator ,"Qamshili, Syria",2. March 2023,17.02.2023,"High School Diploma, or First-level University degree in IT or administration or any related field At least four years (High School) or one year (Bachelor) of progressively responsible in security or IT context or related field, prior experience with the UN system or an international NGO is an advantage, knowledge of host country safety codes, solid computers skills (MS Word, Excel, Access and PowerPoint), willing to work at night, weekends and holidays, physically fit, ability to respond timely and appropriately with a sense of urgency, provide consistent solutions, and deliver timely and quality results and/or solutions to fulfil and understand the real customers‘ needs, knowledge of social media and ability to advise the use of social media for development outcomes Fluency in English and Arabic are required "
United Nations Development Programme,Project Communications Assistant ,"Beijing, China",1. March 2023,17.02.2023,"Bachelor degree or equivalent in Social Sciences, Communications, International Relations, Economics, International Development, Political Sciences or a related field is highly favoured Zero years of experience in communications functions would be desirable, provide effective support to the implementation of the project communications strategy and action plan to increase public engagement in advocacy and awareness-raising events, draft well-designed contents relevant to project activities for social media and media engagements, provide effective support to prepare, translate and assure the quality of project communications outreach materials, including but not limited to press releases, stories, blogs, re-ports, issue briefs, speeches, briefing notes, etc. Fluency in English is required "
United Nations Development Programme,Programme Management Associate ,"Mexico, Mexico City",5. March 2023,17.02.2023,"National professional with college degree in Social Sciences, Human Rights, International Relations, Advocacy Five years of relevant experience in programme/project management, knowledge of Strategic Planning and public policies, knowledge of Monitoring and evaluation approaches, proficiency in current office software applications and corporate IT systems, experience in implementing projects related to UNFPA’s mandate, knowledge of UN cooperation in Mexico Fluency in Spanish and English is required "
UNICEF,HIV/AIDS Programme Assistant ,"Nairobi, Kenya",1. March 2023,17.02.2023,"Bachelor degree or equivalent in public health, health policy and/or management, public administration, or other related health or management discipline Two years of experience in HIV, SRH or health programming, or other related fields, experience working in the UN is an asset, demonstrated experience in working with adolescent and young people and/or civil society organizations, excellent writing and communication skills, demonstrated ability to work in interdisciplinary, multicultural settings with gender equality and diversity awareness, solid overall computer literacy, including proficiency in various MS Office applications (Excel, Word, PowerPoint, etc.) and email/internet English, Level: fluent, required Portuguese, level: working knowledge, desirable French, level: working knowledge, desirable "
UNICEF,Public Finance Officer ,"Luanda, Angola",1. March 2023,17.02.2023,"Three years of experience in professional work experience at the national and/or international level in public finance or governance or other relevant programmes, experience with data analysis is an asset, as is experience working in the UN or other international development organization, excellent interpersonal skills, culturally and socially sensitive, ability to work inclusively and collaboratively with a range of partners, including grassroots community members, religious and youth organizations, and authorities at different levels, familiarity with tools and approaches of communications for development English, level: working knowledge, required, Portuguese, level: mother tongue, required "
UNICEF,Programme Associate (Emergency Section) ,"Dakar, Senegal",28. February 2023,17.02.2023,"A secondary education preferably supplemented by technical, or university courses related to the work of the organization is required A minimum of six years of administrative or clerical work experience is required, prior experience in programme support functions is an asset, relevant experience in a UN system agency or organization is considered as an asset, knowledge of the administration which underpins UNICEF regional office programme/project operations, including monitoring and evaluation processes, high sense of confidentiality, initiative and good judgment, strong office management skills, ability to effectively manage the section’s material resources and monitor its budget Fluency in English and French is required, knowledge of another official UN language or a local language is an asset "
