employer,job_title,place,closing_date,publishing_date,job_description
Food and Agriculture Organization of the United Nations,Office Assistant ,"Rome, Italy",25. May 2023,09.05.2023,"Secondary School Education Three years of relevant experience in office support work, good knowledge of the MS Office applications, Internet and office technology equipment, good knowledge of communication and documentation standards, good knowledge of corporate computerized in administration/procurement/financial/travel/human resources systems and administrative procedures and policies, ability to manage confidential matters with tact and discretion, experience in proofreading and formatting FAO documents, good knowledge of consultant recruitment and travel procedures Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another official FAO language (Arabic, Chinese, French, Russian or Spanish) "
Food and Agriculture Organization of the United Nations,Statistician ,"Budapest, Hungary",25. May 2023,09.05.2023,"Seven years of relevant experience in the production and analysis of food and agricultural statistics in national or international organizations, including field experience in statistical surveys and censuses, work experience in more than one location or area of work, particularly in field positions, extent and relevance of experience in the compilation, validation and analysis of food and agricultural statistics, extent and relevance of experience in the compilation of food and agriculture Sustainable Development Goals (SDGs) indicators, ability to mobilize financial resources to support the implementation of field projects Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another FAO official language (Arabic, Chinese, French, Russian or Spanish) "
Food and Agriculture Organization of the United Nations,Forestry Officer (Statutory Bodies and Partnerships) ,"Rome, Italy",25. May 2023,09.05.2023,"Advanced university degree in forest policy, resources management or a related field Five years of relevant experience in forest policy and partnerships, which at least two years at the global level, work experience in more than one location or area of work, particularly in field positions, extent and relevance of experience in planning and managing large international and/or intergovernmental meetings.‘ networking and building and managing effective partnerships and international forest policy issues, extent of knowledge of intergovernmental forestry related negotiation processes Working knowledge (proficient – level C) of English and limited knowledge (intermediate – level B) of another FAO official language (Arabic, Chinese, French, Russian or Spanish) "
Organisation for Economic Co-operation,,"Paris, France",1. June 2023,09.05.2023,"A university degree in fields relevant for energy data, i.e. statistics, data science, economics, mathematics, computer science, information technology, engineering, physics, environmental studies, a postgraduate degree in one of these fields would be an advantage Proven experience in the production and/or use of data or statistics gained in the private sector, university, public research institute, national administration or or international organisation, general knowledge of statistical concepts and applied data analysis techniques, demonstrated experience in quantitative analysis and/or knowledge in the energy field would be an advantage Fluency in one of the two OECD official languages (English and French) and knowledge of, or a willingness to learn the other, working knowledge of other languages would be an advantage "
Organisation for Economic Co-operation,,"Paris, France",26. May 2023,09.05.2023,"Analyst An advanced university degree in economics, social sciences or a related field A minimum of three, preferably five years‘ experience in policies for entrepreneurship, acquired in a policy environment or research institution, sound knowledge of the theory and practice of entrepreneurship policies, experience in research and analytical activities, excellent drafting skills, ability to organise and summarise complex material clearly, proven ability to organise and manage projects within strict deadlines and budget with a minimum of supervision Fluency in one of the two OECD official languages (English and French) and a knowledge of, or a willingness to learn, the other, knowledge of other languages would be an asset "
Organisation for Economic Co-operation,,"Busan, Republic of Korea",23. May 2023,09.05.2023,"Financial Action Task Force An advanced university degree, or equivalent, in law, public policy, economics, business administration, finance, international co-operation or another relevant discipline At least three, and preferably five or more, years of relevant work experience in anti-money laundering and combatting the financing of terrorism ( AML/CFT), experience in working as part of a multicultural team or in an international organisation, confirmed experience delivering AML/CFT training and/or technical assistance Fluency in one of the two OECD official languages (English and French) and knowledge of the other, with a commitment to reach a good working level, knowledge of other languages (e.g., Korean, Spanish, Russian, Arabic) would be an advantage "
Organisation for Economic Co-operation,,"Paris, France",21. May 2023,09.05.2023,"Programme Manager An advanced university degree(s) in relevant disciplines, such as international relations, economics, and/or energy studies or related field(s) Five to eight years of experience working on international relations, energy, economic and/or climate issues, experience in and knowledge of China would be a strong advantage, policy experience, preferably in the energy field, with a national government, international organisation, the private sector or academia/research, experience of working with stakeholders in China would be a strong advantage, ability to synthesise complex results and present them to a non-specialist audience Excellent knowledge of written and spoken English, fluency in written and spoken Chinese is required, Working knowledge of other languages would be an advantage "
Organisation for Economic Co-operation,,"Paris, France",31. May 2023,09.05.2023,"An advanced university degree in economics or other relevant disciplines At least ten years‘ relevant experience at senior/managerial levels, including experience in government or an international organisation, in-depth knowledge of agricultural and related policies and institutions and in the treatment of these policies at intergovernmental level, acquired in a national administration or international organisation, strong understanding of international, political, and economic developments in key agricultural economies and their impact on the Directorate’s priorities, Ability to manage limited resources effectively for the best strategic results Fluency in one of the two OECD official languages (English and French) and a knowledge of, or a willingness to learn, the other "
United Nations Development Programme,Operations Associate ,"Bonn, Germany",7. May 2023,05.05.2023,"Six years of relevant experience in HR and business administration, alternatively, Bachelor’s degree in combination with three years of relevant experience in business analysis, programme support and administration may be accepted, knowledge of the conditions of service of the UN Common System or of international organizations is an asset, proficiency in the use of office software packages (ERP, MS Word, Excel, PowerPoint, etc.) and experience in handling of web-based management systems is highly desirable, ability to design job roles to meet specific organizational objectives Fluency in English, proficiency in French and/or Spanish is an asset "
United Nations Development Programme,National Information Management Associate ,Syria,18. May 2023,05.05.2023,"A minimum of High school Certificate, first-level university degree in Geographic Information Science (GIS), Geomatics, information management, management information systems (MIS), computer science, information systems or related field A minimum of seven years (high School) or four years (First-level university degree - Bachelor) of experience in GIS, information management, data science/analysis, information systems, information science or a related field is required, experience in ESRI ArcGIS ArcMAP or ArcGIS Pro is required, experience in data analysis using Excel is required, experience in QGIS is highly desirable, experience in spatial analyses is highly desirable, experience in developing interactive maps/Apps using ArcGIS online/Mapbox/ or Carto is highly desirable Fluency in Arabic and English is required "
United Nations Development Programme,Project Associate ,"New Delhi, India",18. May 2023,05.05.2023,"High School Education or Bachelor’s Degree in Economics, Social Work Administration or related would be given due consideration At least six years of experience in Project and administration management with high school or three years for candidates with Bachelors Degree, experience of working for large scale government funded projects, experience of working with an international organization on aspects such as SDGs or similar development agendas, promotes a knowledge sharing and learning culture in the office, actively works towards continuing personal learning and development in the area of professional discipline and job knowledge, acts on learning plan and applies newly acquired skills, demonstrates competent analytical and presentation skills Fluency in English is required "
United Nations Development Programme,Administrative Associate ,"Sarajevo, Bosnia and Herzegovina",17. May 2023,05.05.2023,"Secondary School, Certification in administration is desirable, Bachelor’s degree in Business or Public Administration will be considered as an advantage Minimum six years (with secondary education) or three years (with BA) of relevant administrative or project support experience is required at the national or international level, experience in travel organisation, experience in the usage of computers and office software packages (MS Word, Excel, etc.), experience in handling of web based management systems, demonstrating/safeguarding ethics and integrity, understands the main processes and methods of work regarding the position, ability to report to internal and external clients in a timely and appropriate fashion, ability to quickly shift from one task to another to meet multiple support needs Working knowledge of English is required "
United Nations Development Programme,Finance and Administration Analyst ,Mexico,16. May 2023,05.05.2023,"University degree in management, international business, accounting or finance Aminimum of five years of work experience in administrative functions, budget control and logistics, previous experience in the use of ERP, such as SAP or Umoja, isrequired Idiomas, Excellent writing and text analysisskills, ability to write technical reports, tobe a Mexican citizen in full exerciseof his/her rights,or a foreigner, whose immigration status allows the function to be performed, technical abilities on organization, follow-up, planning and monitoring of specific objectives, experience within the United NationsSystem will be an advantage, manage and follow up, through the Umoja platform, the processes required for travel, procurement of goods and/orservices, as well as human resources recruitment Proficiency in Englishand Spanish "
Food and Agriculture Organization of the,,"Rome, Italy",15. May 2023,05.05.2023,"Education Specialist University degree (PhD preferred) in Education, Behavioural Science, Psychology, Behavioural Economics or related field At least one to four years (for CAT C), at least five years (for CAT B) and at least 12 years (for COF Category A)/15 years (for PSA CAT A) of relevant experience in applying behavioural science and insights in educational and capacity building programmes and initiatives, including integrating behavioural science principles into the educational curricula on climate change, biodiversity, agriculture nutrition or related environmental and social issues Working knowledge (level C) of English, French or Spanish "
Food and Agriculture Organization of the,,"New Delhi, India",8. May 2023,05.05.2023,"Coordinator Indian national, graduate of an accredited university or similar institution of higher education in livestock and/or animal health sciences, or related field At least 10 years of relevant experience, familiarity and expertise in emerging disease threat prevention and control, experience engaging with diverse stakeholders, from livestock owners to ministerial staff, extent of relevant experience with internationally funded projects, familiarity and experience with One Health, experience with organizing participatory workshops, experience with team management, proficiency in MS Office, willingness and ability to travel to remote, rural locations Working knowledge of spoken & written Hindi and English "
Food and Agriculture Organization of the,,"New Delhi, India",8. May 2023,05.05.2023,"Coordinator University degree in law, social sciences, gender, international development, public management and administration or other relevant related fields is required At least five years of experience in any of the following areas (including a combination): prevention of sexual exploitation and abuse, gender, gender-based violence, victim centred approach, GBV case management, demonstrated experience of working on projects at the field level in Asia and the Pacific is an advantage, understanding of the international development and humanitarian architecture, in particular the Protection Cluster/sub-cluster architecture as well as the guiding principles in Protection and accountability to affected population Working knowledge (level C) of English "
Food and Agriculture Organization of the,,"Rome, Italy",15. May 2023,05.05.2023,"Consultant University degree in a subject related to the work of the Organization At least one year (Category C) of professional experience in promoting and mainstreaming the Leave No One Behind agenda thematic areas within the framework of emergency and resilience settings, strong communication and presentation skills, strong research and analytical, synthesis and writing skills, ability to deliver outputs by agreed deadlines, sometimes at very short notice Working knowledge (level C) of English and/or French and limited knowledge (level B) of any other official language of the Organization (Arabic, Chinese, Spanish or Russian), for PSA, working knowledge (level C) of English and/or French "
UNICEF,Chief Admin & Finance ,"New Delhi, India",8. May 2023,05.05.2023,"Eight years of relevant professional work experience both at national and international level in office management, operations (administration, finance, accounting, ICT, human resources, supply) or any other relevant function in an international organization and/or large corporation is required, professional experience in an emergency duty station and large country offices is an asset, experience in UN System or other international NGO is an asset Fluency in English is required "
UNICEF,Senior Administrative & Finance Associate ,"Quetta, Pakistan",7. May 2023,05.05.2023,"An advanced university degree (Bachelor’s or higher) in finance, administrations or related field ls an asset for this job, a first University Degree in a relevant field combined with two additional years of professional experience may be accepted in lieu of an Advanced University Degree A minimum of seven years of relevant experience in the field of finance and administration is required, developing country work experience and/or familiarity with emergency is considered an asset, any other assigned administrative and finance related tasks to carried out operations activities, assist supervisor in carrying out of day-to-day operations related tasks to respond and tackle the situations in efficient and effective manners Fluency in English is required, knowledge of another official UN language or a local language is an asset "
UNICEF,Talent Group for Assistants ,"Budapest, Hungary",31. May 2023,05.05.2023,"Completion of secondary education (i.e., high school diploma) is a minimum requirement supplemented by University level courses in finance, accounting or business is an asset Minimum of five years of relevant work experience is required, a completed university degree from an accredited institution will be counted toward the minimum work experience requirements. i.e. in the form of one year of completed education being equivalent to one year of relevant work experience (for fully completed degrees only), working knowledge of the Microsoft Suite of Products (MS Word, MS Excel and MS PowerPoint) is required, strong focus on accuracy and consistency, with strong analytical, data extraction and reporting skills is required, work experience with a development organization is an asset Fluency in English (verbal and written) is required "
UNICEF,Senior Finance Associate (Reporting) ,"Budapest, Hungary",17. May 2023,05.05.2023,"Completion of secondary education, preferably supplemented by technical courses related to the scope of the job is required, a university (Bachelor’s) degree in the field of Business, Finance etc. Minimum of seven years of relevant work experience in the area of finance processes with International Corporates or other international organization’s, a completed university degree from an accredited institution will be counted toward the minimum work experience requirements, i.e. in the form of one year of completed education being equivalent to one year of relevant work experience (for fully completed degrees only), minimum of three years of relevant work process experience within a Procure to Pay (P2P) or Record to Report (R2R) Shared Services Centre environment Fluency in English is required "
UNICEF,Subnational Planning Officer ,"Kuala Lumpur, Malaysia",16. May 2023,05.05.2023,"Bachelor degree or equivalent in Development programme/project administration, Public information and reporting, Capacity building Three years of experience in public policy, public administration, economics, political/social science, development, child development, or related field, at least two years of work experience at the national or international level, in implementing development programmes in Sarawak, experience of working in the government, UN or other international development organizations is an asset, excellent oral and written skills, excellent drafting, formulation, reporting skills, accuracy and professionalism in programme management and reporting, self-motivated, ability to work with minimal oversight, ability to work with tight deadlines Fluency in English is required "
United Nations Development Programme,Project Associate ,"Minsk, Belarus",7. May 2023,05.05.2023,"Knowledge of accounting concepts, principles, frameworks, standards, regulations, policies and trends, and ability to apply this to strategic and/or practical situations, ability to create and manage processes to achieve UNDP’s long and short-term financial goals, including through planning, budgeting, forecasting, analysing and reporting, ability to manage events, including venue identification, accommodation, logistics, catering, transportation, and cash disbursements, etc., knowledge of travel policy and procedures, ability to interpret travel policy, the Staff Rules, administrative circulars and financial regulations and rules on travel-related matters, ability to allocate and use resources in a strategic or tactical way in line with principles of accountability and integrity Fluency in Russian and English is required "
United Nations Development Programme,Research and Data Specialist ,"New York, United States",9. May 2023,05.05.2023,"A Master’s degree or higher in areas related to Knowledge Management, Strategic Communications, or Adult Learning or Bachelor’s degree in the related fields with additional two years of relevant experience will be given due consideration in lieu of Master’s degree Minimum five years with Master’s degree or seven years with Bachelor’s degree of experience working in the development cooperation space, conversant with the south-south and triangular cooperation, proven experience in the development and production of Knowledge Products is required, proven experiences in managing knowledge sharing mechanisms is required, extensive experience in engaging or working with think-tanks or networks is highly desirable, conversant with UN systems and procedures is high desirable Fluency in English is required "
United Nations Development Programme,Digital Transformation Specialist ,"Bangkok, Thailand",9. May 2023,05.05.2023,"Bachelor’s or Master’s degree in digital transformation, innovation, technology management, social science, economic, or relevant fields Five years of professional working experience in relevant fields related to international development for candidates with a Master’s degree, or seven years of professional working experience in relevant fields related to international development for candidates with a Bachelor’s degree, a minimum of three years of professional experience with digital transformation, E-governance, innovation, work with governments, donors, and/or development partners is highly desirable, a proven track record of working directly with Governments/multilaterals on Digital Transformation/Digital Government/Public Service Delivery systems/projects, preferably in a developing country context Fluency in English is required "
United Nations Development Programme,Operations Associate Talent Acquisition ,"Bonn, Germany",15. May 2023,05.05.2023,"Secondary education with specialized training in human resources or related fields, University degree in business administration or human resources management is desirable, but not a requirement Seven years of relevant experience in talent management or human resources, experience in MS Office 365, experience working with web-based management systems, experience working with Salesforce Service Cloud would be an asset, experience in an international or non-profit context would be an asset, experience working with volunteers would be an asset, ability to create and manage employer value proposition and align it to the needs of the organization and the workforce Fluency in English, proficiency in Spanish, French or another UN official language would be an asset "
United Nations Development Programme,Administrative and Finance Analyst ,"Juba, South Sudan",18. May 2023,05.05.2023,"Advanced (Masters) University Degree in Finance/Accounting, Administration, Business, or finance related discipline required, a professional accounting qualification and membership of an internationally recognized institute of accountancy is desirable Minimum two years of relevant experience in administration, accounting, finance, or related fields is required, experience in handling of web based management systems and ERP financials, preferably PeopleSoft, as well as Quantum will be an asset, experience of IFRS and IPSAS will be an advantage, relevant experience in providing administrative management services, experience in the usage of computers and office software packages (MS Word, Excel, etc.) and knowledge of spreadsheet and database packages, experience in handling of web based management systems Fluency in oral and written English is required "
United Nations Development Programme,Administrative Associate ,"New York, United States",15. May 2023,03.05.2023,"A minimum of six years (secondary) or three years (Bachelor) of relevant experience in administration or programme support services, experience in the usage of Microsoft Office packages (MS Word, Excel, etc.) and advanced knowledge of spreadsheet and database packages, working experience in using web-based management systems is strongly desirable, familiarity with UNDP Enterprise Resources Planning system (ERP) system is advantageous, ability to manage communications internally and externally, through media, social media and other appropriate channels Fluency in English is required "
